regulation_id,requirement_id,section_id,description,requirement_type,is_quantitative,applies_to_loan_type,severity
APS-112,APS-112-REQ-017,APS-112-ATT-A,"An ADI's property exposure must be secured by a registered first mortgage, or a registered second mortgage meeting specified conditions including written consent of first mortgagee, restrictions on increasing the first mortgage amount, independent power of sale, and fair market value requirements on sale.",collateral,False,all,mandatory
APS-112,APS-112-REQ-018,APS-112-ATT-A,"Prior to loan approval, an ADI must document, assess and verify the borrower's ability to meet repayment obligations, including assessment of higher interest rate impacts, all existing debt commitments, serviceability for P&I period on interest-only residential loans, and tenancy profile for cash-flow dependent commercial loans. Failure to make a positive determination requires classification as non-standard.",serviceability,False,all,mandatory
APS-112,APS-112-REQ-019,APS-112-ATT-A,"An ADI must appropriately value property offered as security per paragraph 11 of Attachment A, and except for ADC exposures, the property value must not depend materially on the borrower's performance.",collateral,False,all,mandatory
APS-112,APS-112-REQ-020,APS-112-ATT-A,"All information required at loan origination and for monitoring must be accurately documented and readily accessible, including borrower repayment ability and property valuation information.",monitoring,False,all,mandatory
APS-112,APS-112-REQ-021,APS-112-ATT-A,Property exposures originated prior to 1 January 2023 with no material change to loan terms and conditions after that date are exempt from the serviceability assessment requirements in paragraph 5 of Attachment A for standard loan classification.,origination,False,all,mandatory
APS-112,APS-112-REQ-022,APS-112-ATT-A,"LVR components must be prudently calculated per paragraphs 10 and 11 of Attachment A. The loan amount includes outstanding balance, accrued interest and fees, and any undrawn committed amount, gross of provisions and CRM. Multiple sequential loans secured by the same property must be aggregated; second mortgage loans must include all claims secured by both mortgages.",origination,False,all,mandatory
APS-112,APS-112-REQ-031,APS-112-ATT-A-LVR-CALC,"The value of a mortgaged property must be independently appraised using prudently conservative criteria consistent with APS 220, and must not exceed market value where determinable. The origination value must be maintained unless specific conditions for updating are met.",origination,False,all,mandatory
APS-112,APS-112-REQ-032,APS-112-ATT-A-LVR-CALC,"Where a residential property exposure is secured by both residential and commercial properties, an ADI must apply a 40 per cent haircut to the value of any commercial property when calculating LVR.",capital,True,residential_secured,mandatory
APS-112,APS-112-REQ-033,APS-112-ATT-A-LVR-CALC,"For reverse mortgages where a borrower has been guaranteed a minimum share in future sale proceeds, the LVR calculation must be adjusted by reducing the property value by the quarantined percentage share.",capital,False,residential_secured,mandatory
APS-112,APS-112-REQ-034,APS-112-ATT-A-LVR-CALC,"An ADI may use eligible CRM techniques to reduce the exposure amount of a property exposure, but the LVR band and applicable risk weight must be determined before the application of the relevant CRM technique.",capital,False,all,mandatory
APS-112,APS-112-REQ-035,APS-112-ATT-A-RES-PROP-DEF,"Where finance is used for more than one purpose, the entire amount must be classified according to the predominant purpose. Where there is doubt about owner-occupied versus investment classification, the loan must be treated as other standard residential property.",origination,False,residential_secured,mandatory
APS-112,APS-112-REQ-036,APS-112-ATT-A-LMI,"An ADI may reduce its capital requirement through LMI only where the insurance provides cover for all losses up to at least 40 per cent of the higher of the original or outstanding loan amount, and is provided by an APRA-regulated insurer (Level 1) or overseas prudential regulator-regulated insurer (Level 2).",capital,True,residential_secured,mandatory
APS-112,APS-112-REQ-037,APS-112-ATT-A-TABLE1,"An ADI must apply the risk weights in Table 1 to standard residential property exposures based on loan classification (owner-occupied P&I or other standard), LMI status, and LVR band.",capital,True,residential_secured,mandatory
APS-112,APS-112-REQ-038,APS-112-ATT-A-TABLE1,An ADI may apply a risk weight of 35 per cent to residential property exposures that satisfy the conditions for inclusion within the Australian Government's Home Guarantee Scheme and for which NHFIC has issued a guarantee certificate.,capital,True,residential_secured,mandatory
APS-112,APS-112-REQ-039,APS-112-ATT-A-TABLE2,Interest-only loans with LVR greater than 80 per cent and an interest-only term greater than five years or of unspecified duration must be classified as non-standard loans.,origination,True,residential_secured,mandatory
APS-112,APS-112-REQ-040,APS-112-ATT-A-TABLE2,An ADI must apply the risk weights in Table 2 to non-standard loans secured by residential property based on LVR. Reverse mortgages receive a 50 per cent risk weight at LVR ≤60% and 100 per cent above; all other non-standard loans receive 100 per cent.,capital,True,residential_secured,mandatory
APS-112,APS-112-REQ-041,APS-112-ATT-A-TABLE2,A non-standard loan (due to failing paragraph 5 criteria) may be reclassified as a standard loan where the loan has been performing consecutively for the previous 36 months.,monitoring,True,residential_secured,mandatory
APS-112,APS-112-REQ-042,APS-112-ATT-A-COMM-PROP,"Where repayment of a commercial property exposure depends primarily on property cash flows, an ADI must apply the risk weights in Table 3 based on LVR and standard/non-standard classification.",capital,True,commercial_secured,mandatory
APS-112,APS-112-REQ-043,APS-112-ATT-A-COMM-PROP,"Where repayment of a commercial property exposure does not depend primarily on property cash flows, an ADI must apply the risk weights in Table 4 based on counterparty type, LVR, and standard/non-standard classification.",capital,True,commercial_secured,mandatory
APS-112,APS-112-REQ-044,APS-112-ATT-A-COMM-PROP,"To classify a commercial property exposure as not dependent on property cash flows, the borrower must have greater than $250 million in tangible assets, no single real estate asset may exceed 25 per cent of the portfolio by value, and tenant concentration limits must be met.",origination,True,commercial_secured,mandatory
APS-112,APS-112-REQ-045,APS-112-ATT-A-ADC,"An ADI may apply a 100 per cent risk weight to ADC exposures secured by residential property only if the exposure meets standard loan criteria, total debt to qualifying development costs is less than 75 per cent, and pre-sales requirements are met for exposures above $5 million.",capital,True,residential_secured,mandatory
APS-112,APS-112-REQ-046,APS-112-ATT-A-ADC,An ADI must apply a risk weight of 150 per cent to all ADC exposures that do not qualify for the 100 per cent risk weight under paragraph 29.,capital,True,all,mandatory
APS-112,APS-112-REQ-047,APS-112-ATT-B-INTRO,"An ADI must risk-weight all non-property exposures in accordance with Attachment B, except for unsettled/failed transactions (Attachment D) and defaulted exposures (Attachment E). Where external credit ratings are used, Attachment F requirements must also be met.",capital,False,all,mandatory
APS-112,APS-112-REQ-048,APS-112-ATT-B-SOVEREIGN,An ADI must apply the risk weights in Table 5 to sovereign exposures based on external credit rating. Exposures to the Australian Government and RBA denominated and funded in Australian dollars may be risk-weighted at zero per cent.,capital,True,all,mandatory
APS-112,APS-112-REQ-049,APS-112-ATT-B-PSE,"An ADI must apply the risk weights in Table 6 to domestic PSE exposures that do not qualify as sovereign exposures, based on external credit rating.",capital,True,all,mandatory
APS-112,APS-112-REQ-050,APS-112-ATT-B-BANK,An ADI must apply the risk weights in Tables 7 and 8 to bank exposures based on external credit rating and maturity. Unrated bank exposures must be risk-weighted as the higher of the standard unrated weight and the sovereign risk weight of the country of incorporation.,capital,True,all,mandatory
APS-112,APS-112-REQ-051,APS-112-ATT-B-BANK,An ADI must not use external credit ratings that incorporate assumptions of implicit government support when assigning risk weights to bank exposures.,capital,False,all,mandatory
APS-112,APS-112-REQ-052,APS-112-ATT-B-COVERED-BONDS,"An ADI may apply the reduced risk weights in Table 9 to rated covered bond exposures only where the cover pool composition, overcollateralisation of at least 10 per cent, and ongoing semi-annual disclosure requirements are met.",capital,True,all,mandatory
APS-112,APS-112-REQ-053,APS-112-ATT-B-COVERED-BONDS,Bank assets in a covered bond cover pool must not exceed 15 per cent of the cover pool. Residential property assets in the cover pool must have LVR ≤80% and commercial property assets must have LVR ≤60%.,collateral,True,all,mandatory
APS-112,APS-112-REQ-054,APS-112-ATT-B-COVERED-BONDS,"An ADI must be able to demonstrate to APRA that cover pool information including value, geographical distribution, asset type, loan size, interest rate and currency risks is available on at least a semi-annual basis.",reporting,False,all,mandatory
APS-112,APS-112-REQ-051,APS-112-ATT-B-S17,Unrated covered bonds or those not meeting paragraphs 15-16 requirements must be treated as bank exposures and risk-weighted using Table 7.,capital,False,all,mandatory
APS-112,APS-112-REQ-052,APS-112-ATT-B-S19,ADIs must apply risk weights from Table 10 to general corporate exposures with an external long-term credit rating.,capital,True,all,mandatory
APS-112,APS-112-REQ-053,APS-112-ATT-B-S20,ADIs must apply risk weights from Table 11 to short-term general corporate exposures with an issue-specific external credit rating.,capital,True,all,mandatory
APS-112,APS-112-REQ-054,APS-112-ATT-B-S21,"Where a short-term issue-specific rating maps to grade 4, all unrated exposures to that counterparty must be risk-weighted at 150%.",capital,True,all,mandatory
APS-112,APS-112-REQ-055,APS-112-ATT-B-S22,"An SME exposure is defined as one to a corporate counterparty with total consolidated annual revenue below $75 million; where revenue cannot be determined, exposures below $5 million may be treated as SME.",origination,True,commercial_secured,mandatory
APS-112,APS-112-REQ-056,APS-112-ATT-B-S23,ADIs must apply risk weights from Table 12 to unrated SME exposures: 75% for SME retail and 85% for SME corporate.,capital,True,commercial_secured,mandatory
APS-112,APS-112-REQ-057,APS-112-ATT-B-S24,"To qualify as SME retail, the exposure must be a small business lending facility or commitment and the maximum aggregated exposure to the SME counterparty must be less than $1.5 million.",origination,True,commercial_secured,mandatory
APS-112,APS-112-REQ-058,APS-112-ATT-B-S25,"For unrated general corporate exposures not treated as SME, ADIs must apply 100% risk weight to all exposures, or 85% to investment grade and 110% to non-investment grade using an APRA-approved methodology.",capital,True,commercial_secured,mandatory
APS-112,APS-112-REQ-059,APS-112-ATT-B-S29,ADIs must apply risk weights from Table 13 to unrated specialised lending exposures: 110% for project finance and 100% for object and commodities finance.,capital,True,commercial_secured,mandatory
APS-112,APS-112-REQ-060,APS-112-ATT-B-S31,ADIs must apply risk weights from Table 14 to retail exposures: 75% for credit card exposures and 100% for other retail exposures.,capital,True,all,mandatory
APS-112,APS-112-REQ-061,APS-112-ATT-B-S32,Margin lending exposures secured by eligible financial collateral must be risk-weighted at 20%; those secured by other collateral must be risk-weighted at 100%.,capital,True,all,mandatory
APS-112,APS-112-REQ-062,APS-112-ATT-B-S33,Subordinated debt not required to be deducted from regulatory capital under APS 111 must be risk-weighted at 150%.,capital,True,all,mandatory
APS-112,APS-112-REQ-063,APS-112-ATT-B-S38,"Equity exposures not deducted from regulatory capital must be risk-weighted at 250% if listed on a recognised exchange (or to banking/insurance subsidiaries at Level 1), and 400% if unlisted.",capital,True,all,mandatory
APS-112,APS-112-REQ-064,APS-112-ATT-B-S40,"Where an ADI bears residual value risk in operating leases, it must apply 100% risk weight to the portion of aggregate residual value up to 10% of Tier 1 capital and 250% to the portion exceeding 10% of Tier 1 capital.",capital,True,all,mandatory
APS-112,APS-112-REQ-065,APS-112-ATT-B-S41,"Credit exposures originated through a third party where the ADI does not conduct credit assessment, cannot administer workout/default processes, and has no direct recourse must be risk-weighted at 150%.",capital,True,all,mandatory
APS-112,APS-112-REQ-066,APS-112-ATT-B-S42,"ADIs must apply risk weights from Table 16 to all other exposures not classified elsewhere, including 0% for cash and gold bullion, 20% for cash items in collection, and 100% for fixed assets and all other exposures.",capital,True,all,mandatory
APS-112,APS-112-REQ-067,APS-112-ATT-B-S43,"For exposures originated after 1 January 2023, ADIs must apply a 1.5x multiplier to the applicable risk weight for unhedged retail or residential property exposures to individuals where the lending currency differs from the borrower's income currency.",capital,True,all,mandatory
APS-112,APS-112-REQ-068,APS-112-ATT-B-S44,An exposure may only be treated as hedged for currency mismatch purposes where the natural or financial hedge covers at least 90% of the loan repayment amount.,capital,True,all,mandatory
APS-112,APS-112-REQ-069,APS-112-ATT-C,"ADIs must multiply the committed but undrawn amount of an exposure by the relevant CCF from Table 17 and then risk-weight the resulting amount according to Attachments A, B and D.",capital,True,all,mandatory
APS-112,APS-112-REQ-070,APS-112-ATT-C,"Where an ADI has given a commitment to provide an off-balance sheet exposure, it may apply the lower of the CCFs applicable to the commitment and the off-balance sheet exposure.",capital,False,all,mandatory
APS-112,APS-112-REQ-071,APS-112-ATT-D,"ADIs must apply escalating risk weights from Table 18 to unsettled DvP transactions (excluding SFTs) based on the number of business days after the settlement date, applied to the positive current exposure amount.",capital,True,all,mandatory
APS-112,APS-112-REQ-072,APS-112-ATT-D,"ADIs must hold regulatory capital against non-DvP transactions where payment or delivery has been made without receipt, applying a 1250% risk weight from five business days after payment/delivery until extinction of the transaction.",capital,True,all,mandatory
APS-112,APS-112-REQ-101,APS-112-ATT-D-CONT,"For equity exposures, an ADI must apply risk weights based on the counterparty as per Attachment B, or where exposures are not material, apply a 100 per cent risk weight consistently across all such exposures.",capital,True,all,mandatory
APS-112,APS-112-REQ-102,APS-112-ATT-E,"An ADI must apply the risk weights in Table 19 to defaulted residential property exposures, calculated net of provisions and partial write-offs.",capital,True,residential_secured,mandatory
APS-112,APS-112-REQ-103,APS-112-ATT-E,"An ADI must apply the risk weights in Table 20 to defaulted non-residential property exposures, based on whether provisions are at least 20 per cent of the outstanding exposure amount.",capital,True,all,mandatory
APS-112,APS-112-REQ-104,APS-112-ATT-E,An ADI may recognise eligible credit risk mitigation when calculating the exposure amount for defaulted exposures.,collateral,False,all,mandatory
APS-112,APS-112-REQ-105,APS-112-ATT-F,"An ADI may only use solicited ECAI ratings to determine credit rating grades for risk-weighting, and must apply ratings consistently for each type of exposure.",capital,False,all,mandatory
APS-112,APS-112-REQ-106,APS-112-ATT-F,An ADI must only use an ECAI rating that reflects the entire amount of credit risk exposure the ADI has with regard to all amounts owed to it.,capital,False,all,mandatory
APS-112,APS-112-REQ-107,APS-112-ATT-F,"An ADI must perform due diligence on external ratings and, where due diligence reflects higher risk than the external rating implies, must assign a risk weight at least one bucket higher; due diligence must not result in a lower risk weight.",capital,False,all,mandatory
APS-112,APS-112-REQ-108,APS-112-ATT-F,An ADI must not use credit ratings for one entity within a corporate group to determine the risk weight for other entities within the same group.,capital,False,all,mandatory
APS-112,APS-112-REQ-109,APS-112-ATT-F,"Where a counterparty has multiple ECAI ratings mapping to different credit rating grades, an ADI must use the higher risk weight of the two lowest-risk-weight grades when three or more ratings exist, or the higher risk weight when two ratings exist.",capital,False,all,mandatory
APS-112,APS-112-REQ-110,APS-112-ATT-F,An ADI must not use an ECAI rating denominated in one currency to derive the credit rating grade for an exposure denominated in another currency to the same counterparty.,capital,False,all,mandatory
APS-112,APS-112-REQ-111,APS-112-ATT-G,An ADI must select either the simple or comprehensive approach for collateralised banking book exposures and apply it consistently; ADIs approved for the IRB approach to credit risk must not use the simple approach.,capital,False,all,mandatory
APS-112,APS-112-REQ-112,APS-112-ATT-G,"For trading book exposures where collateral has been received, an ADI must use the comprehensive approach.",capital,False,all,mandatory
APS-112,APS-112-REQ-113,APS-112-ATT-G,An ADI acting as agent in an SFT that guarantees its principal's obligations must calculate a Regulatory Capital requirement as if it were the principal.,capital,False,all,mandatory
APS-112,APS-112-REQ-114,APS-112-ATT-G,"There must be a contract establishing the ADI's direct, explicit, irrevocable and unconditional recourse to received collateral; a common law right of set-off alone is insufficient for cash collateral.",collateral,False,all,mandatory
APS-112,APS-112-REQ-115,APS-112-ATT-G,An ADI must take all steps necessary to obtain and maintain an enforceable security interest in received collateral and have clear procedures for timely liquidation of collateral.,collateral,False,all,mandatory
APS-112,APS-112-REQ-116,APS-112-ATT-G,"Where collateral is held by a custodian or third party, the ADI must take reasonable steps to ensure the collateral is segregated from other assets.",collateral,False,all,mandatory
APS-112,APS-112-REQ-117,APS-112-ATT-G,"An ADI must ensure sufficient resources are devoted to the orderly operation of margin agreements and must have collateral risk management policies covering volatility, concentration, re-use, and surrender of rights.",governance,False,all,mandatory
APS-112,APS-112-REQ-118,APS-112-ATT-G,"Under the simple approach, received collateral must be pledged for at least the life of the exposure, marked-to-market and revalued at minimum every six months, and its release must be conditional on repayment of the exposure.",collateral,True,all,mandatory
APS-112,APS-112-REQ-119,APS-112-ATT-G,"Under the simple approach, the risk weight on the collateral-secured portion of an exposure is subject to a floor of 20 per cent, except where specific conditions in paragraphs 18–20 apply; the unsecured portion is risk-weighted at the counterparty's applicable rate.",capital,True,all,mandatory
APS-112,APS-112-REQ-120,APS-112-ATT-G,A zero per cent risk weight may be applied to collateralised transactions where the exposure and collateral are in the same currency and the collateral is either cash on deposit or sovereign securities eligible for zero per cent risk weight discounted by 20 per cent.,capital,True,all,mandatory
APS-112,APS-112-REQ-121,APS-112-ATT-G,"SFTs meeting all specified conditions may be risk-weighted at 10 per cent, or at zero per cent where the counterparty is a core market participant as defined in paragraph 20.",capital,True,all,mandatory
APS-112,APS-112-REQ-122,APS-112-ATT-G,"Under the comprehensive approach, an ADI must adjust EAD for collateralised transactions using the prescribed formula incorporating haircuts for collateral and foreign exchange.",capital,False,all,mandatory
APS-112,APS-112-REQ-123,APS-112-ATT-G,Resecuritisation exposures as defined in APS 120 are not eligible financial collateral under either the simple or comprehensive approach.,collateral,False,all,mandatory
APS-112,APS-112-REQ-124,APS-112-ATT-G,"For qualifying SFTs under paragraph 19, following a counterparty's failure to remargin, the time between the last mark-to-market and liquidation of collateral must be no more than four business days.",collateral,True,all,mandatory
APS-112,APS-112-REQ-101,APS-112-ATT-G-COLLATERAL-MATURITY,A maturity mismatch exists where the residual maturity of collateral lodgement is less than the maturity of the covered exposure; collateral with a maturity mismatch may only be recognised if the original maturity of lodgement is at least 12 months and the residual maturity is at least 3 months.,collateral,True,all,mandatory
APS-112,APS-112-REQ-102,APS-112-ATT-G-COLLATERAL-MATURITY,"Where a maturity mismatch exists, an ADI must apply the prescribed adjustment formula to the collateral value, using the shortest possible effective maturity for collateral and the longest possible remaining time for the exposure.",collateral,False,all,mandatory
APS-112,APS-112-REQ-103,APS-112-ATT-G-SUPERVISORY-HAIRCUTS,An ADI must use the supervisory haircuts set out in Table 23 to determine haircuts for collateral and exposures across all eligible collateral types.,collateral,True,all,mandatory
APS-112,APS-112-REQ-104,APS-112-ATT-G-SUPERVISORY-HAIRCUTS,"An ADI must apply a haircut of 8 per cent for currency risk where the exposure and collateral are denominated in different currencies, and zero per cent where they are in the same currency.",collateral,True,all,mandatory
APS-112,APS-112-REQ-105,APS-112-ATT-G-HOLDING-PERIODS,"An ADI must apply the minimum holding periods and conditions in Table 24 to SFTs, other capital-market-driven transactions, and secured lending.",collateral,True,all,mandatory
APS-112,APS-112-REQ-106,APS-112-ATT-G-HOLDING-PERIODS,"An ADI must apply a higher minimum holding period of 20 business days for the following quarter where a netting set has more than 5,000 trades at any point during a quarter.",collateral,True,all,mandatory
APS-112,APS-112-REQ-107,APS-112-ATT-G-HOLDING-PERIODS,"An ADI must apply a minimum holding period of 20 business days for netting sets containing illiquid collateral or OTC derivatives that cannot be easily replaced, assessed under stressed market conditions.",collateral,True,all,mandatory
APS-112,APS-112-REQ-108,APS-112-ATT-G-HOLDING-PERIODS,"Where an ADI has experienced more than two margin call disputes on a netting set over the previous two quarters lasting longer than the applicable minimum holding period, it must use a minimum holding period at least double the supervisory floor for that netting set for the subsequent two quarters.",collateral,True,all,mandatory
APS-112,APS-112-REQ-109,APS-112-ATT-G-HOLDING-PERIODS,An ADI must calculate the margining frequency adjustment factor for each transaction or netting set using the prescribed formula based on the minimum holding period and the number of business days between remarginings or revaluations.,capital,False,all,mandatory
APS-112,APS-112-REQ-110,APS-112-ATT-G-SFT-NETTING,"For SFTs covered by an eligible bilateral netting agreement meeting Attachment H requirements, an ADI using the comprehensive approach must calculate EAD using the prescribed formula incorporating net and gross exposures, haircuts, and currency mismatches.",capital,False,all,mandatory
APS-112,APS-112-REQ-111,APS-112-ATT-H-NETTING,An ADI that chooses to net transactions must do so consistently and apply netting to all transactions in both the banking book and trading book covered by a netting agreement.,governance,False,all,mandatory
APS-112,APS-112-REQ-112,APS-112-ATT-H-NETTING,"An ADI applying netting for Regulatory Capital purposes must have a netting policy addressing the requirements in this Prudential Standard, including systems and controls for monitoring and reporting netted transactions on a gross and net basis, and managing roll-off and termination risk.",governance,False,all,mandatory
APS-112,APS-112-REQ-113,APS-112-ATT-H-NETTING,An ADI must maintain adequate records to support the application of the netting agreement.,monitoring,False,all,mandatory
APS-112,APS-112-REQ-114,APS-112-ATT-H-NETTING,"For Regulatory Capital purposes, an ADI may only net on-balance sheet loans and deposits, SFTs, and OTC derivative transactions with a single counterparty; netting across derivatives and SFTs is not permitted.",capital,False,all,mandatory
APS-112,APS-112-REQ-115,APS-112-ATT-H-NETTING,An ADI may only net internal transactions between the banking book and trading book if the netted transactions are marked-to-market daily and any collateralised instruments comply with eligible collateral criteria in Attachment G.,collateral,False,all,mandatory
APS-112,APS-112-REQ-116,APS-112-ATT-H-NETTING,"An ADI may only use net exposures of loans and deposits as the basis for RWA calculation where it has legal enforceability of the netting agreement, can identify covered loans and deposits at any time, and monitors and controls roll-off risks and net exposures.",capital,False,all,mandatory
APS-112,APS-112-REQ-117,APS-112-ATT-H-NETTING,"An ADI must obtain a written and reasoned legal opinion confirming the enforceability of the netting agreement in all relevant jurisdictions, and maintain policies and procedures to keep legal enforceability under review.",governance,False,all,mandatory
APS-112,APS-112-REQ-118,APS-112-ATT-H-NETTING,"An ADI must not recognise a netting agreement for Regulatory Capital purposes if there is any doubt as to its legal enforceability, including where a foreign regulator has indicated netting is not enforceable under its laws.",capital,False,all,mandatory
APS-112,APS-112-REQ-119,APS-112-ATT-I-GUARANTEES,"Where an exposure is covered by a guarantee from an eligible guarantor, an ADI may substitute the guarantor's risk weight for the counterparty's risk weight on the covered portion; the uncovered portion must be risk-weighted at the original counterparty rate.",capital,False,all,mandatory
APS-112,APS-112-REQ-120,APS-112-ATT-I-GUARANTEES,"To be recognised as eligible CRM, a guarantee must be a direct, explicitly documented, irrevocable, and unconditional claim on an eligible guarantor, covering all types of payments the borrower is expected to make.",collateral,False,all,mandatory
APS-112,APS-112-REQ-121,APS-112-ATT-I-GUARANTEES,"An ADI must only recognise guarantees from sovereigns, banks, externally rated entities (for non-securitisation exposures), or entities with a credit rating grade of three or better (for securitisation exposures), where those entities have a lower risk weight than the counterparty.",collateral,False,all,mandatory
APS-112,APS-112-REQ-122,APS-112-ATT-I-GUARANTEES,"A claim indirectly guaranteed by the Australian Government may be treated as directly guaranteed provided the indirect guarantee covers all credit risk elements, meets the requirements of paragraph 2 (except for directness and explicitness), and the ADI is satisfied the coverage is robust.",collateral,False,all,mandatory
APS-112,APS-112-REQ-123,APS-112-ATT-I-GUARANTEES,Letters of comfort do not qualify as eligible guarantees for CRM purposes.,collateral,False,all,mandatory
APS-112,APS-112-REQ-124,APS-112-ATT-I-GUARANTEES,"Where a guarantee provides for a materiality threshold on payments below which no payment will be made in the event of loss, it is equivalent to a retained first loss position and must be deducted from Common Equity Tier 1 Capital in accordance with APS 111, capped at the capital required against the full exposure value.",capital,False,all,mandatory
APS-112,APS-112-REQ-125,APS-112-ATT-I-GUARANTEES,"Where there is partial coverage of an exposure by a guarantee and the covered and uncovered portions are of equal seniority, capital relief will be afforded on a proportional basis.",capital,False,all,mandatory
APS-112,APS-112-REQ-126,APS-112-ATT-I-GUARANTEES,"For securitisation exposures, eligible guarantors must have a credit rating grade of three or better and must have been externally rated two or better at the time the credit protection was provided.",collateral,True,all,mandatory
APS-112,APS-112-REQ-101,APS-112-ATT-I-CURR,"Where a guarantee has a currency mismatch, an ADI must reduce the protected amount by applying an 8 per cent haircut based on a 10 business day holding period and daily marking-to-market, adjusted for actual revaluation frequency.",collateral,True,all,mandatory
APS-112,APS-112-REQ-102,APS-112-ATT-I-CURR,A guarantee with a maturity mismatch may only be recognised as eligible CRM if the original maturity is at least 12 months and the residual maturity is at least 3 months.,collateral,True,all,mandatory
APS-112,APS-112-REQ-103,APS-112-ATT-I-CURR,"Where a single guarantor provides credit protection with different maturities to the same underlying exposure, an ADI must divide the exposure into separate covered portions for risk-weighting purposes.",capital,False,all,mandatory
APS-112,APS-112-REQ-104,APS-112-ATT-I-CURR,"Where there is a maturity mismatch on a guarantee, an ADI must apply the prescribed adjustment formula Pa = P × (t − 0.25) / (T − 0.25) to determine the adjusted guarantee value.",capital,False,all,mandatory
APS-112,APS-112-REQ-105,APS-112-ATT-J,An ADI purchasing credit protection through an eligible credit derivative may substitute the risk weight of the counterparty with that of the credit protection seller for the covered portion; the uncovered portion retains the original counterparty risk weight.,capital,False,all,mandatory
APS-112,APS-112-REQ-106,APS-112-ATT-J,Eligible credit derivatives for CRM purposes are limited to single-name credit-default swaps and certain total-rate-of-return swaps; total-rate-of-return swaps where net payments are recorded as income without offsetting asset value deterioration must not be recognised.,collateral,False,all,mandatory
APS-112,APS-112-REQ-107,APS-112-ATT-J,"A credit derivative must meet all minimum requirements (paragraphs 5–7 of Attachment J) including being a direct claim, explicitly referenced, irrevocable, unconditional, specifying required credit events, not terminating before grace periods, and identifying credit event determination parties.",collateral,False,all,mandatory
APS-112,APS-112-REQ-108,APS-112-ATT-J,"Where restructuring is excluded from a credit derivative contract but all other minimum requirements are met, an ADI may only recognise 60 per cent of the lesser of the credit protection amount and the underlying exposure amount.",capital,True,all,mandatory
