regulation_id,section_id,section_number,title,content_summary,text,section_type,paragraph_range,source_page_start,source_page_end
APS-112,APS-112-ATT-A,A,Attachment A – Risk weights for property exposures,"This attachment sets out the requirements for risk-weighting property exposures, including criteria for standard loan classification, LVR calculation rules, LMI eligibility, and risk weight tables for residential and commercial property exposures.","Attachment A – Risk weights for property exposures
1. A property exposure is an exposure that is secured by immovable real property. An ADI must risk weight its property exposures according to the requirements detailed in this Attachment, with the exception of defaulted property exposures, which must be risk-weighted in accordance with Attachment E to this Prudential Standard.
Standard property loans
2. A loan must meet all of the requirements set out in paragraphs 3 to 7 of this Attachment to be classified as standard.
3. An ADI must have unequivocal enforcement rights over the mortgaged property at all times, including a right to possession and power of sale in the event of default by the borrower. An ADI must reasonably consider that it would be able to realise the value of the property provided as security within a reasonable timeframe.
4. An ADI's exposure must be secured by a registered first mortgage over the property, or by a registered second mortgage which satisfies the following conditions:
(a) the ADI must obtain the written consent of the first mortgagee for the second mortgage, and confirm the maximum outstanding amount of the loan secured by the first mortgage (including the maximum drawdown or limit of the facility) for LVR purposes;
(b) the ADI must ensure that the amount secured by the first mortgage cannot be increased without being subordinate to the second mortgage;
(c) the ADI, as second mortgagee, must be able to exercise its power of sale over the property independently of any other mortgagee over the property; and
(d) where the sale of the property is not carried out by means of a public auction, the first mortgagee must be required to take reasonable steps to obtain a fair market value, or the best price that may be obtained in the circumstances, when exercising any power of sale (i.e. it is not possible for the first mortgagee to sell the property on its own at a discounted value to the detriment of the ADI).
5. An ADI must, prior to loan approval, appropriately document, assess and verify the ability of the borrower to meet their repayment obligations. This must, at a minimum, include:
(a) consideration of the impact of higher interest rates on the ability of the borrower to repay;
(b) the application of the assessment in paragraph 5(a) of this Attachment to the loan being assessed for approval and all existing and ongoing debt commitments of the borrower(s), both secured and unsecured;
(c) for interest-only loans secured by residential property, an assessment of serviceability for the specific term over which principal-and-interest repayments apply, excluding the interest-only period; and
(d) where the repayment of a commercial property loan is dependent on the cash flows generated by the property through rental income, an assessment of the tenancy profile relative to the maturity of the loan.
Where an ADI's assessment does not result in a positive determination of the borrower's ability to meet their repayment obligations, an ADI must classify the loan as non-standard.
6. An ADI must appropriately value any property offered as security in accordance with paragraph 11 of this Attachment. With the exception of land acquisition, development and construction (ADC) exposures, the value of the property must not depend materially on the performance of the borrower.
7. All of the information required at loan origination and for monitoring purposes must be accurately documented and readily accessible to the ADI, including information on the ability of the borrower to repay and on the valuation of the property.
8. Property exposures that were originated prior to 1 January 2023, with no material change to loan terms and conditions subsequent to this date, do not need to satisfy the criteria set out in paragraph 5 of this Attachment to be classified as standard loans.
Loan-to-valuation ratio
9. The components of LVR must be prudently calculated in accordance with the requirements set out in paragraphs 10 and 11 of this Attachment.
10. The amount of the loan includes the outstanding loan amount (including accrued interest and fees) and any undrawn committed amount (as set out in Attachment C to this Prudential Standard), calculated gross of any provisions for defaulted exposures and other credit risk mitigants. If an ADI provides:
(a) multiple loans secured by the same property and they are sequential in ranking order (i.e. there is no intermediate interest from another lender), the loan amounts must be aggregated and treated as a single exposure for the purpose of calculating the LVR; or
(b) a loan that is secured by a second mortgage, the outstanding amount of the loan must be calculated as the sum of all claims on the borrower secured by both the first and second mortgages over the same property for the purpose of calculating the LVR.",attachment,A1-A10,9,10
APS-112,APS-112-ATT-A-LVR-CALC,A.10-A.13,LVR Calculation Rules,"Sets out rules for calculating LVR including loan amortisation, property valuation requirements, use of origination value versus current value, and treatment of multiple properties and reverse mortgages. Permits use of current valuation for commercial property exposures originated prior to 1 January 2023. CRM techniques may reduce exposure amount but LVR band and risk weight must be determined before CRM application.","When calculating LVR, the loan amount will reduce if the loan amortises.
11. The value of the property must be appraised independently using prudently conservative criteria, consistent with the requirements set out in APS 220.5 If a market value can be determined, the valuation must not be higher than the market value.6 For the purpose of calculating the property value:
(a) the value of the property at origination must be maintained, unless:
(i) an updated valuation is obtained as part of a new loan application process in relation to the mortgaged property;
(ii) an event occurs that results in a likely permanent reduction in the property's value; or
(iii) modifications are made to the property or contractual tenancy arrangements, that unequivocally increase its value, and an updated valuation is obtained which confirms the increase in value;
(b) where a loan is secured by multiple properties, an ADI must use the aggregate value of the mortgaged properties for the purpose of calculating LVR; however, where a residential property exposure is secured by both residential and commercial properties, an ADI must apply a 40 per cent haircut to the value of any commercial property included in calculating LVR; and
(c) for a reverse mortgage, where a borrower has been guaranteed a minimum share in the future sale proceeds of a mortgaged property, the calculation of the LVR for regulatory purposes must be adjusted by reducing the value of the mortgaged property by the quarantined percentage share.
12. For exposures secured by commercial property that were originated prior to 1 January 2023, an ADI may use the current valuation, rather than the value of the property at origination, for the purpose of paragraph 11(a) of this Attachment.
Credit risk mitigation
13. An ADI may use eligible CRM techniques to reduce the exposure amount of a property exposure, but the LVR band and applicable risk weight must be determined before the application of the relevant CRM technique.",attachment,10-13,11,11
APS-112,APS-112-ATT-A-RES-PROP-DEF,A.14,Residential Property Exposure Definitions,"Defines residential property exposure and its sub-categories: owner-occupied, principal-and-interest, and other standard residential property. Specifies classification rules for mixed-purpose loans and ambiguous cases.","14. A residential property exposure is an exposure where the predominant security is an immovable property that has the nature of a dwelling, and satisfies all applicable laws and regulations enabling the property to be occupied for housing purposes. Residential property includes the following exposure types:
(a) 'Owner-occupied' refers to a loan for the purpose of housing, where the funds are used for a residential property that is occupied, or to be occupied, by the borrower(s) as their principal place of residence. Where the loan is for a residential property that is different to the residential property against which the loan is secured, this definition refers to the occupation status of the residential property for which the loan has been obtained (not the occupation status of the residential property used as security). It includes:
(i) a dwelling or residential land that is vacant while under construction, but that the borrower intends to occupy as a principal place of residence; and
(ii) a part-time residence that is the principal place of residence of the borrower(s).
Where finance is to be used for more than one purpose (e.g. owner-occupied, investment or non-housing purposes), the entire amount of the finance must be classified according to the predominant purpose (i.e. the purpose for which the largest share of the funds will be used). Where there is any doubt or ambiguity about whether a loan is for an owner-occupied or investment purpose, the loan must be treated as an 'other standard residential property' exposure.
(b) 'Principal-and-interest' refers to a loan on which interest is paid and principal is automatically amortised over the life of the loan.
(c) 'Other standard residential property' refers to any of the following exposures:
(i) loans for a purpose other than owner-occupation, including for investment or business purposes;
(ii) interest-only loans with an interest-only term of five years or less, where only interest is paid and principal is not automatically amortised; or
(iii) other loans that do not meet both of the criteria in paragraphs 14(a) and 14(b) of this Attachment.",attachment,14,11,12
APS-112,APS-112-ATT-A-LMI,A.15,Lenders' Mortgage Insurance Eligibility,"Specifies conditions under which an ADI may reduce its capital requirement through LMI, including minimum loss coverage of 40 per cent and requirements for the insurer to be regulated by APRA (Level 1) or an overseas prudential regulator (Level 2).","15. An ADI may reduce its capital requirement through the application of LMI, where the insurance:
(a) provides cover for all losses up to at least 40 per cent of the higher of the original loan amount and outstanding loan amount; and
(b) is provided by an eligible lenders' mortgage insurer, which means that:
(i) for the purposes of Level 1 Regulatory Capital, the lenders' mortgage insurer must be regulated by APRA; and
(ii) for the purposes of Level 2 Regulatory Capital, in the case of overseas subsidiaries of Australian ADIs, the lenders' mortgage insurer is regulated by an overseas prudential regulator.",attachment,15,12,13
APS-112,APS-112-ATT-A-TABLE1,A.16,Risk Weights for Standard Residential Property Loans (Table 1),"Requires ADIs to apply risk weights from Table 1 to standard residential property exposures based on loan classification (owner-occupied P&I or other standard), LMI status, and LVR band. Also provides a 35 per cent risk weight for exposures under the Australian Government's Home Guarantee Scheme.","16. An ADI must apply the risk weights in Table 1 to its residential property exposures that satisfy all of the conditions of a standard loan as set out in paragraphs 3 to 7 of this Attachment, based on their classification as an owner-occupied principal-and-interest or other standard residential property exposure, the application of eligible LMI and the exposure's LVR.
Table 1 Risk weights for standard loans
Risk weight (%)
≤ 50 50.01 60.01 70.01 80.01 90.01 > 100
LVR (%) - 60 - 70 - 80 - 90 - 100
LMI 40 55 70
Owner-occupied
principal-and- 20 25 30 35
No
50 70 85
interest
LMI
LMI 50 70 85
Other standard
residential 25 30 40 45
No
65 85 105
property
LMI
17. An ADI may apply a risk weight of 35 per cent to residential property exposures that satisfy the conditions for inclusion within the Australian Government's Home Guarantee Scheme, and in respect of which the National Housing Finance and Investment Corporation has issued a guarantee certificate to the ADI. This capital treatment ceases to apply when:
(a) the guarantee certificate expires or is released in accordance with the terms of the Deed of Guarantee in respect of the First Home Loan Deposit Scheme or the Family Home Guarantee Scheme; or
(b) APRA determines that it no longer applies.
APRA may determine that this treatment may also be applied to a similar guarantee scheme that is offered by the Australian Government or an Australian State or Territory government.",attachment,16-17,13,13
APS-112,APS-112-ATT-A-TABLE2,A.18-A.21,Risk Weights for Non-Standard Residential Property Loans (Table 2),"Defines non-standard residential property loans including interest-only loans with LVR above 80% and term over five years, reverse mortgages, shared equity mortgages, and SMSF loans. Requires ADIs to apply risk weights from Table 2 based on LVR, and permits reclassification to standard after 36 consecutive months of performing.","18. An exposure that is secured by residential property but does not meet any of the requirements set out in paragraphs 3 to 7 of this Attachment, must be classified as a non-standard loan.
19. The following exposures must also be classified as non-standard loans:
(a) interest only loans with an LVR greater than 80 per cent and an interest-only term that is specified in the loan contract as greater than five years or is of unspecified duration. The non-standard treatment applies while the loan remains on interest-only repayment terms. Exposures that meet the above criteria but are predominantly for business purposes may be excluded;
(b) reverse mortgages, which are exposures that do not require principal-and-interest payments until termination of the facility. A risk weight of 50 per cent may only be applied to reverse mortgages where the criteria in paragraphs 3, 4, 6 and 7 of this Attachment are satisfied in addition to the LVR criteria in Table 2;
(c) shared equity mortgages, where both the borrower and lender share in any gain or loss in the value of the mortgaged property; and
(d) loans to self-managed superannuation funds.
20. An ADI must apply the risk weights in Table 2 to its non-standard loans secured by residential property, based on LVR (where applicable).
Table 2 Risk weights for non-standard loans
Risk weight (%)
LVR (%) ≤ 60 > 60
Reverse mortgages 50 100
All other non-standard loans 100
21. A loan secured by residential property which does not meet the criteria set out in paragraph 5 of this Attachment, and consequently must be classified as a non-standard loan, may be reclassified as a standard loan where the loan has been performing consecutively for the previous 36 months.",attachment,18-21,13,14
APS-112,APS-112-ATT-A-COMM-PROP,A.22-A.26,Commercial Property Exposures,"Defines commercial property exposures and sets out risk weight requirements for exposures dependent and not dependent on property cash flows using Tables 3 and 4. Specifies criteria for classifying an exposure as not dependent on property cash flows, including borrower asset thresholds and diversification requirements.","22. A commercial property exposure is a property exposure that is not a residential property exposure as defined in paragraph 14 of this Attachment, and is not land acquisition, development and construction as defined in paragraphs 27 and 28 of this Attachment.
Dependent on property cash flows
23. If the prospects for repayment of the exposure depend primarily on the cash flows generated by the asset or other real estate assets owned by the borrower, an ADI must apply the risk weights in Table 3 based on LVR and the classification of the loan as standard or non-standard.
Table 3 Risk weights for commercial property exposures – dependent on property cash flows
Risk weight (%)
LVR (%) ≤ 60 60.01 - 80 > 80
Standard 70 90 110
Non-standard 150
Not dependent on property cash flows
24. If the servicing and repayment of a commercial property exposure does not meet the criteria for dependence as set out in paragraph 23 of this Attachment, an ADI must apply the risk weights in Table 4 based on counterparty type, LVR and the classification of the loan as standard or non-standard.
Table 4 Risk weights for commercial property exposures – not dependent on property cash flows
Risk weight (%)
Counterparty
LVR > 60 or non-
LVR ≤ 60
standard
60, or
Rated corporate Risk weights in Table 10
the risk weights in Table 10
All other According to applicable risk
60
counterparties weight in Attachment B
25. An exposure may be classified as 'commercial property exposures - not dependent on property cash flows' where an ADI has recourse to a borrower that meets all of the following criteria:
(a) the borrower is a corporate entity that is managed by a recognised, professional and reputable management team;
(b) the ADI's exposure to the borrower is not specifically or substantially financing limited recourse development projects;
(c) the borrower has greater than $250 million in tangible assets, to which the ADI has unconditional recourse;
(d) real estate assets are sufficiently diversified such that:
(i) no single asset represents greater than 25 per cent of the borrower's real estate portfolio by value; and
(ii) real estate assets are not concentrated in one particular specific geographic location; and
(e) for real estate operators or investors, tenants are sufficiently diversified such that no single tenant represents:
(i) greater than 25 per cent of portfolio net rental income for portfolios of retail shopping centres that typically require significant anchor tenants to attract specialty tenants; and
(ii) greater than 10 per cent of portfolio net rental income for all other portfolios of real estate assets (e.g. commercial offices, industrial buildings, hotels), with the exception of Government tenants.
26. Where an ADI has an exposure to commercial property that is used predominantly for forest or agricultural purposes, it may classify the exposure as 'not dependent', unless the property has been acquired specifically for lease or resale, and the servicing of the debt is dependent on such lease or resale (or the lease or resale of other properties).",attachment,22-26,14,16
APS-112,APS-112-ATT-A-ADC,A.27-A.30,"Land Acquisition, Development and Construction (ADC)","Defines ADC exposures and sets out conditions under which a 100 per cent risk weight may be applied to ADC exposures secured by residential property, including pre-sales and debt-to-cost ratio requirements. All other ADC exposures attract a 150 per cent risk weight.","27. Land acquisition, development and construction (ADC) refers to property exposures where the security for the loan predominantly relates to any of the land acquisition for development and construction purposes, or development and construction of any residential or commercial property.
28. All property exposures where the predominant property security is not fully completed must be included as ADC unless:
(a) the property is used predominantly for forest or agricultural purposes; or
(b) the loan is secured by residential property under construction, or by land upon which residential property will be constructed, where the property will be the primary residence of the borrower.
29. An ADI may apply a risk weight of 100 per cent to its ADC exposures secured by residential property if the following conditions are met:
(a) the exposure meets all of the requirements in paragraphs 3, 4, 6 and 7 of this Attachment;
(b) total debt to qualifying development costs are less than 75 per cent, where debt includes all debt facilities held by the borrower in relation to the underlying property;
(c) where the exposure to the borrower is greater than $5 million in aggregate for a single development, qualifying pre-sales for the underlying property are at least equal to 100 per cent of the total debt; and
(d) the ADI has a policy that defines qualifying pre-sales and qualifying development costs for the purpose of meeting the requirements under paragraph 29 of this Attachment.
30. An ADI must apply a risk weight of 150 per cent to all other ADC exposures.",attachment,27-30,16,16
APS-112,APS-112-ATT-B-INTRO,B.1-B.2,Attachment B – Risk Weights for Non-Property Exposures: Introduction,"Requires ADIs to risk-weight all non-property exposures per Attachment B, with exceptions for unsettled/failed transactions (Attachment D) and defaulted exposures (Attachment E). Where external credit ratings are used, ADIs must also comply with Attachment F.","1. An ADI must risk-weight all exposures that are not property exposures according to the requirements detailed in this Attachment, with the exception of:
(a) unsettled and failed transactions, which must be risk-weighted in accordance with Attachment D to this Prudential Standard; and
(b) defaulted exposures, which must be risk-weighted in accordance with Attachment E to this Prudential Standard.
2. Where this Attachment requires an ADI to assign risk weights based on external credit ratings, an ADI must also comply with the requirements set out in Attachment F to this Prudential Standard.",attachment,1-2,17,17
APS-112,APS-112-ATT-B-SOVEREIGN,B.3-B.5,Sovereign Exposures,"Defines sovereign exposures including central and subnational governments, central banks, and eligible multilateral development banks. Requires ADIs to apply risk weights from Table 5 based on external credit rating, with a zero per cent risk weight available for Australian Government and RBA exposures denominated and funded in Australian dollars.","3. A sovereign exposure includes:
(a) all exposures to Australian and overseas central and subnational governments, where a subnational government is defined as a government of a geographically defined part of a state which has powers to raise revenue and borrow money;
(b) all exposures to the Reserve Bank of Australia and overseas central banks, where a central bank is defined as an entity which is responsible for overseeing and implementing the monetary policy of a state or group of states; and
(c) all exposures to institutions and multilateral development banks eligible for a zero per cent risk weight.7
4. An ADI must apply the risk weights in Table 5 to its sovereign exposures, based on the external credit rating of the sovereign, with the exception of those sovereign exposures eligible for a zero per cent risk weight under paragraph 3(c) of this Attachment.
Table 5 Risk weights for sovereign exposures
Credit rating
1 2 3 4, 5 6 Unrated
grade
Risk weight (%) 0 20 50 100 150 100
5. Exposures to the Australian Government and Reserve Bank of Australia that are denominated and funded in Australian dollars may be risk-weighted at zero per cent.",attachment,3-5,17,18
APS-112,APS-112-ATT-B-PSE,B.6,Domestic Public Sector Entity Exposures,"Requires ADIs to apply risk weights from Table 6 to domestic PSE exposures that do not qualify as sovereign exposures, based on external credit rating.","6. An ADI must apply the risk weights in Table 6 to its exposures to domestic public sector entities (PSEs) that do not meet the definition of a sovereign exposure, based on the external credit rating of the domestic PSE.
Table 6 Risk weights for domestic PSEs
Credit rating
1 2 3 4, 5 6 Unrated
grade
Risk weight (%) 20 50 50 100 150 50",attachment,6,18,18
